sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_poll 0 666 0x1500 135 41.8 43.9 69.8 179.4 217.7 320.4 199901.0 200000 20 2703.78 4205688 468802218 7992518 311658462 986221574212 723375076388 848352187503 693521809 0 0 0 0 0 296468
ebbrt_poll 1 666 0x1500 135 40.2 42.7 67.6 174.3 210.5 305.1 200078.3 200000 20 2703.11 4205887 468985238 7999525 311930940 987651691170 723859467639 848847690377 693005667 0 0 0 0 0 296478
ebbrt_poll 0 666 0x1700 135 38.8 40.4 53.8 111.1 146.9 189.9 49953.8 50000 20 2811.81 1678996 154830186 1998021 77921544 1075551321476 751859726292 844847564183 324030595 0 0 0 0 0 299213
ebbrt_poll 1 666 0x1700 135 39.0 40.8 54.2 109.7 146.0 191.6 50013.3 50000 20 2811.54 1687028 155385326 2000331 78011244 1067711915594 751296387027 844254876683 333981626 0 0 0 0 0 299215
ebbrt_poll 0 666 0x1700 135 40.0 41.9 57.8 131.8 164.8 217.9 100086.5 100000 20 2822.02 2356035 249732096 4002727 156096768 1097249305320 753664533566 847128974840 392603385 0 0 0 0 0 298439
ebbrt_poll 1 666 0x1700 135 38.8 40.3 56.4 129.0 162.1 212.2 100071.2 100000 20 2825.88 2361956 250049939 4001954 156065166 1097528442110 751857751917 845320115848 385134556 0 0 0 0 0 298449
ebbrt_poll 0 666 0x1700 135 40.7 42.8 65.2 164.2 197.0 277.7 200110.3 200000 20 2838.0 4202244 468813380 8000496 311965884 1038425183661 754538521349 848099601563 684484949 0 0 0 0 0 296879
ebbrt_poll 1 666 0x1700 135 39.7 42.0 64.4 163.0 195.1 274.1 199886.5 200000 20 2836.32 4197811 468303836 7991852 311631888 1036550345905 754434351473 848037012632 682535541 0 0 0 0 0 296857
ebbrt_poll 0 666 0x1700 135 41.8 45.4 85.0 222.1 280.5 420.5 300023.5 300000 20 2845.41 6404369 709206340 11989854 467442366 946815270549 756369497311 850253215571 1030115047 0 0 0 0 0 295145
ebbrt_poll 1 666 0x1700 135 42.0 46.2 87.0 224.7 281.6 422.5 300151.8 300000 20 2843.12 6409200 709532223 11994284 467612712 946742981944 756670446128 850546495761 1046103882 0 0 0 0 0 295177
ebbrt_poll 0 666 0x1900 135 38.3 39.5 52.4 106.8 142.1 180.1 49988.3 50000 20 2947.62 1563104 143920615 1852089 72230242 1115857553995 783362875336 845676181879 327318116 0 0 0 0 0 299342
ebbrt_poll 1 666 0x1900 135 38.5 39.8 52.7 105.7 142.4 180.0 50045.0 50000 20 2950.18 1691110 155627849 2001619 78061416 1121255369943 783505863429 845649504228 328597386 0 0 0 0 0 299298
ebbrt_poll 0 666 0x1900 135 38.6 40.1 55.4 123.8 154.0 198.2 99918.3 100000 20 2960.39 2369004 250325698 3996000 155834970 1154468222034 784699852040 846941507066 379965396 0 0 0 0 0 298589
ebbrt_poll 1 666 0x1900 135 38.8 40.4 55.5 123.7 154.6 197.1 99879.3 100000 20 2957.31 2372109 250479862 3994283 155768326 1140065367769 784371696200 846683985935 397220451 0 0 0 0 0 298601
ebbrt_poll 0 666 0x1900 135 39.4 41.6 62.3 154.6 183.9 256.9 200067.6 200000 20 2967.35 4198561 468574797 7998660 311892990 1090358277058 785898940982 848323278302 673150466 0 0 0 0 0 297180
ebbrt_poll 1 666 0x1900 135 39.1 41.0 61.5 152.9 181.5 255.2 199955.4 200000 20 2965.96 3886927 433840608 7405928 288783718 1093184582976 785243374355 847593496927 634071825 0 0 0 0 0 297379
ebbrt_poll 0 666 0x1900 135 42.2 45.1 78.0 199.7 246.9 358.8 299977.1 300000 20 2970.77 6380698 707693447 11987935 467369400 991745416814 787513726335 850115382399 1036554842 0 0 0 0 0 295597
ebbrt_poll 1 666 0x1900 135 40.4 43.8 77.3 197.8 247.1 361.0 299932.5 300000 20 2971.65 6377430 707475148 11986147 467303646 999051316048 787473107606 850041048932 1021633532 0 0 0 0 0 295599
ebbrt_poll 0 666 0x1b00 135 38.1 39.1 51.3 101.0 135.4 168.3 50018.8 50000 20 3103.83 1700468 156209593 2000550 78019500 1167106412252 814177320632 845213816145 330882394 0 0 0 0 0 299365
ebbrt_poll 1 666 0x1b00 135 38.4 39.6 51.8 102.9 138.8 170.0 49892.1 50000 20 3102.85 1695060 155719861 1995519 77823786 1162756207201 814825488334 845960222698 339261881 0 0 0 0 0 299362
ebbrt_poll 0 666 0x1b00 135 38.7 40.1 54.5 117.7 148.3 185.3 100141.8 100000 20 3114.0 2359127 248955050 3966360 154679168 1198072978705 816912910971 848109292261 387421145 0 0 0 0 0 298741
ebbrt_poll 1 666 0x1b00 135 39.1 41.0 55.0 117.7 147.9 186.1 100126.9 100000 20 3114.22 2382002 251308852 4004042 156147560 1194848151361 813101206279 844176525440 383795939 0 0 0 0 0 298723
ebbrt_poll 0 666 0x1b00 135 39.3 41.4 60.8 148.4 173.6 242.7 199883.0 200000 20 3125.62 4189718 467816055 7991031 311592978 1138705965831 816658642237 847833417929 666344319 0 0 0 0 0 297394
ebbrt_poll 1 666 0x1b00 135 38.6 40.2 59.6 145.9 170.8 240.1 199957.6 200000 20 3124.09 4193162 468138667 7994500 311735896 1138264098527 816793382167 847973294818 674317503 0 0 0 0 0 297408
ebbrt_poll 0 666 0x1b00 135 40.1 43.5 76.0 187.8 230.2 327.6 300038.8 300000 20 3128.13 6354936 706208965 11989029 467396420 1049422430993 818509242912 849766942933 1010288146 0 0 0 0 0 296005
ebbrt_poll 1 666 0x1b00 135 40.2 43.5 75.2 186.8 231.4 327.7 300133.4 300000 20 3129.96 6359747 706646699 11993921 467601942 1048900896282 818730053280 850002189164 1019495762 0 0 0 0 0 295993
ebbrt_poll 0 666 0x1d00 135 38.4 39.6 50.7 95.8 127.5 153.9 50049.5 50000 20 3234.16 1720689 157434409 2001741 78065944 1203685512315 843617039661 843617039779 334000954 0 0 0 0 0 299482
ebbrt_poll 1 666 0x1d00 135 38.6 40.1 51.2 97.0 129.2 154.6 49982.7 50000 20 3258.78 1709792 156701554 1999058 77961794 1210579333243 845194683236 845194682728 331524497 0 0 0 0 0 299466
ebbrt_poll 0 666 0x1d00 135 38.1 39.3 52.1 110.2 137.2 169.3 99897.5 100000 20 3279.99 2397868 252059051 3995083 155799042 1251288048321 845725886849 845725885704 369234209 0 0 0 0 0 298914
ebbrt_poll 1 666 0x1d00 135 38.1 39.1 52.2 110.5 137.8 169.6 99877.9 100000 20 3280.6 2394982 251848166 3994329 155769966 1247433841085 846253344943 846253343794 376045043 0 0 0 0 0 298891
ebbrt_poll 0 666 0x1d00 135 38.4 40.0 57.9 137.3 160.2 221.0 200080.9 200000 20 3292.98 4189217 468011406 7999270 311918198 1195794761056 847799109048 847799109363 653257089 0 0 0 0 0 297708
ebbrt_poll 1 666 0x1d00 135 38.6 40.2 58.1 136.6 160.3 219.3 199759.6 200000 20 3295.88 4186309 467505354 7986624 311426016 1190645403566 848041862123 848041861780 657119660 0 0 0 0 0 297659
ebbrt_poll 0 666 0x1d00 135 39.6 42.3 69.4 170.8 207.8 298.3 300033.5 300000 20 3305.32 6336432 705118582 11990077 467455550 1108461966240 849121230786 849121230905 977504624 0 0 0 0 0 296402
ebbrt_poll 1 666 0x1d00 135 39.5 42.4 70.7 173.8 212.3 303.4 300005.1 300000 20 3300.63 6338243 705258224 11989391 467429034 1105988430796 849192979971 849192979196 987196249 0 0 0 0 0 296407
ebbrt_tuned 0 2 0x1900 135 44.9 49.5 94.4 244.0 304.1 443.8 300374.7 300000 20 2244.02 6440025 711721351 12003587 467977230 452872640656 485841621086 563571687369 1046695086 0 0 0 0 5913827 9942895
ebbrt_tuned 0 4 0x1900 135 45.2 49.9 93.6 244.2 304.5 451.5 300036.8 300000 20 2243.15 6436690 711149606 11990148 467450578 452844476207 488779411659 566979433840 1059531279 0 0 0 0 6014184 9960685
ebbrt_tuned 0 10 0x1900 135 49.8 54.2 101.1 255.4 319.0 464.1 300036.4 300000 20 2239.28 6443070 711496961 11990591 467473900 451870352768 485980115756 563732080076 1052497165 0 0 0 0 5842379 8925220
ebbrt_tuned 0 20 0x1900 135 49.7 54.9 98.3 246.3 305.0 445.9 299706.7 300000 20 2235.38 6438162 710843910 11976668 466928472 451187150767 481685343161 558750503228 1046130364 0 0 0 0 5522343 8132519
ebbrt_tuned 0 30 0x1900 135 51.6 57.5 101.9 250.6 312.5 446.2 300119.9 300000 20 2234.45 6460747 712692704 11993594 467586074 451894949206 481251687018 558247805222 1048517537 0 0 0 0 5011306 6984625
ebbrt_tuned 0 40 0x1900 135 52.3 58.9 105.4 255.1 320.4 462.2 299985.3 300000 20 2232.75 6468601 713036252 11988206 467381474 451798384945 477899066957 554359185246 1046196354 0 0 0 0 4564882 5875921
ebbrt_tuned 0 50 0x1900 135 55.7 63.3 114.1 264.0 325.6 467.5 299894.7 300000 20 2227.93 6477431 713422424 11984337 467231106 452394704104 474879124302 550856268141 1048027289 0 0 0 0 4240379 4983450
ebbrt_tuned 0 100 0x1900 135 64.3 75.9 143.8 292.3 351.3 488.6 299844.6 300000 20 2224.62 6545013 717456483 11982895 467172690 453154804516 471782813674 547265433650 1039920488 0 0 0 0 3268289 2815502
ebbrt_tuned 0 200 0x1900 135 71.7 88.4 190.2 321.2 370.3 487.5 300004.4 300000 20 2152.92 6638894 723195601 11988436 467386430 441470199585 430996265731 502006310528 905960025 0 0 0 0 2883179 1464692
ebbrt_tuned 0 2 0x1b00 135 43.3 46.8 80.7 208.3 258.1 380.5 299896.1 300000 20 2443.7 6385815 707900295 11984634 467235352 451767898300 489940369211 526233864744 1026495766 0 0 0 0 6708167 10132319
ebbrt_tuned 0 4 0x1b00 135 43.1 46.7 81.9 207.7 258.9 372.6 300094.2 300000 20 2443.22 6391305 708471731 11992404 467542916 452002955037 492428498859 528906401881 1037316150 0 0 0 0 6828413 10112663
ebbrt_tuned 0 10 0x1b00 135 46.3 49.8 83.7 209.8 258.8 367.7 299936.3 300000 20 2445.21 6398577 708790825 11985750 467274708 451799602027 492584926447 529074863635 1033269985 0 0 0 0 6554516 9170306
ebbrt_tuned 0 20 0x1b00 135 48.0 52.5 86.3 213.2 264.9 385.1 299904.6 300000 20 2440.26 6403129 708966549 11984772 467242354 451102757685 489068086609 525297215668 1039334142 0 0 0 0 6101426 8277614
ebbrt_tuned 0 30 0x1b00 135 49.7 54.9 89.3 213.4 261.5 379.7 300227.1 300000 20 2436.69 6422310 710485490 11997876 467756374 452076789163 486526686659 522567176258 1041831886 0 0 0 0 5569431 7086758
ebbrt_tuned 0 40 0x1b00 135 52.2 58.5 99.6 226.5 277.0 397.3 299872.8 300000 20 2430.62 6425341 710290378 11982383 467136614 451964241346 482634637064 518386496876 1034843206 0 0 0 0 5102157 5937294
ebbrt_tuned 0 50 0x1b00 135 53.9 60.8 105.8 235.8 287.1 406.0 300020.1 300000 20 2430.32 6444770 711597053 11990055 467455628 452578405840 481946223242 517646865738 1033966641 0 0 0 0 4661248 5044487
ebbrt_tuned 0 100 0x1b00 135 61.9 73.2 135.0 259.3 308.6 432.8 299958.5 300000 20 2422.73 6512215 715544204 11986914 467326448 452613156930 477282966887 512637665607 1029250160 0 0 0 0 3616063 2843265
ebbrt_tuned 0 200 0x1b00 135 72.2 88.7 190.7 322.6 371.4 485.9 300210.1 300000 20 2414.36 6649104 724115210 11996374 467689670 453212806576 471617187023 506551950212 1029922487 0 0 0 0 2906359 1464700
ebbrt_tuned 0 2 0x1d00 135 42.3 44.9 73.5 182.5 222.0 319.9 300012.2 300000 20 2454.17 5981292 664696731 11291121 440201524 422816427972 462941863372 462943147490 943660134 0 0 0 0 7058449 9762583
ebbrt_tuned 0 4 0x1d00 135 43.2 46.3 76.1 185.8 226.5 324.7 300235.6 300000 20 2652.2 6361702 706857666 11998613 467785812 450488685989 494991988762 494993471049 1003053461 0 0 0 0 7605325 10343138
ebbrt_tuned 0 10 0x1d00 135 45.0 48.1 75.5 183.8 224.4 323.9 299726.0 300000 20 2647.53 6357269 706008939 11977813 466980516 448785942522 491195284670 491196762049 995458880 0 0 0 0 7256669 9387033
ebbrt_tuned 0 20 0x1d00 135 46.6 50.6 79.3 188.4 227.8 326.5 300243.5 300000 20 2649.1 6377182 707792736 11998147 467765042 449788051818 490131396033 490132831132 1000479306 0 0 0 0 6733803 8443116
ebbrt_tuned 0 30 0x1d00 135 47.8 52.8 84.0 191.5 233.5 330.6 300091.2 300000 20 2642.66 6385459 708098600 11992076 467521638 449886117380 487080395527 487081685336 995330976 0 0 0 0 6151455 7185784
ebbrt_tuned 0 40 0x1d00 135 50.1 56.2 91.5 202.3 244.7 345.4 300159.2 300000 20 2641.45 6400644 709149065 11995619 467668716 450250135964 485951703090 485952885305 1004533872 0 0 0 0 5543185 6002820
ebbrt_tuned 0 50 0x1d00 135 52.9 59.3 98.4 207.0 248.3 349.7 299912.0 300000 20 2634.91 6409664 709380292 11985563 467274492 450885840681 482039198228 482040356656 996799701 0 0 0 0 5142893 5111933
ebbrt_tuned 0 100 0x1d00 135 59.6 70.0 128.5 237.2 278.7 379.0 299989.9 300000 20 2623.07 6480464 713727175 11988730 467401178 450766786405 474805773884 474806566061 994792167 0 0 0 0 3954462 2866185
ebbrt_tuned 0 200 0x1d00 135 69.2 85.4 183.4 301.4 349.1 449.8 299957.2 300000 20 2620.46 6615494 721745601 11987287 467346036 451030488457 471108647929 471109282256 996595076 0 0 0 0 3101993 1464733
ebbrt_tuned 0 2 0x1d00 135 40.3 42.2 59.3 141.2 166.3 233.1 200124.1 200000 20 2373.72 4194555 468366904 8000853 311979628 298161838671 329884798950 329886308376 633261016 0 0 0 0 7265283 7544310
ebbrt_tuned 1 2 0x1d00 135 40.8 42.5 60.0 143.7 168.3 228.5 199766.0 200000 20 2382.43 4187029 467544491 7986986 311439272 298016505454 331648475738 331650003290 635379342 0 0 0 0 7244594 7537862
ebbrt_tuned 0 4 0x1d00 135 41.3 42.9 61.1 147.3 170.8 234.5 199900.8 200000 20 2388.4 4189767 467819594 7992433 311655974 298997269329 335777258221 335779060004 651149389 0 0 0 0 7374355 7547457
ebbrt_tuned 1 4 0x1d00 135 41.5 43.2 61.6 146.8 171.3 240.1 200040.7 200000 20 2388.26 4189406 467959338 7996257 311780314 299062620010 334956892358 334958510746 646107316 0 0 0 0 7358684 7536483
ebbrt_tuned 0 10 0x1d00 135 44.5 46.7 64.5 148.9 173.9 239.8 200111.7 200000 20 2387.5 4199617 468670506 8000550 311965966 299515152140 334978467810 334980135930 651993784 0 0 0 0 7083842 7043107
ebbrt_tuned 1 10 0x1d00 135 44.4 46.6 64.2 148.1 173.5 233.3 199931.5 200000 20 2385.96 4192938 468076558 7993622 311697596 299319879213 333914201177 333915804117 650963658 0 0 0 0 7085154 7038887
ebbrt_tuned 0 2 0xd00 135 54.9 57.3 88.2 221.3 293.2 370.7 50013.9 50000 20 995.12 1531432 146035403 2000402 78013878 76107223708 91555651811 206128539459 170728347 0 0 0 0 2806198 2428924
ebbrt_tuned 0 2 0xd00 135 54.0 56.8 94.5 272.2 325.4 453.8 100044.0 100000 20 1072.65 2241383 242836596 4001040 156032254 149992052724 156669631203 350020092933 321040393 0 0 0 0 3440441 3863472
ebbrt_tuned 0 4 0xd00 135 54.9 57.3 87.6 215.4 289.8 370.1 50060.0 50000 20 995.7 1535651 146361815 2002233 78085032 76330227412 91590256910 206182811770 168957765 0 0 0 0 2825462 2441733
ebbrt_tuned 0 4 0xd00 135 56.1 58.7 98.4 277.5 329.8 468.9 99825.3 100000 20 1073.16 2236617 242271565 3991354 155639094 149546675704 156917286858 350578950512 323120588 0 0 0 0 3447155 3878397
ebbrt_tuned 0 8 0xd00 135 56.9 60.0 90.6 220.9 295.6 371.3 49963.7 50000 20 995.74 1526121 145649384 1998366 77934754 76154933346 91912793112 206951622505 169129202 0 0 0 0 2942950 2374189
